ToxicParser Profiler
====================
Target: parser
Profiler: auto
Profile type: calls
Matching: all functions
File limit: 50

Projects: man, bin, LICENSES, .ort, .github, lib, .git
Collected 50 files to profile

Loading code...
Running baseline measurement...

Baseline Results:
-----------------
Files processed: 50
Total AST nodes: 90645
Total bytes: 1330661
Baseline time: 3288.15 ms
Throughput: 27567.0 AST nodes/sec
Throughput: 395.2 KB/sec

Running profiler (auto, calls)...

Using tprof for call counting (OTP 27+)
Warmup...


Profile results over all processes
#                                                                                        CALLS      %
Total                                                                                423010958 100.00
anonymous fn/2 in ToxicProfiler.run_profile/2                                                1   0.00
ToxicParser.Precedence.when_op_bp/0                                                          4   0.00
ToxicParser.Builder.Meta.closing_meta/2                                                      4   0.00
anonymous fn/5 in ToxicParser.Grammar.Containers.parse_paren_content/5                       4   0.00
ToxicParser.Grammar.Stabs.parse_stab_parens_args/3                                           4   0.00
ToxicParser.Grammar.Stabs.parse_stab_parens_exprs/4                                          4   0.00
ToxicParser.Grammar.Stabs.parse_stab_parens_single_expr/2                                    4   0.00
ToxicParser.Grammar.Stabs.try_parse_stab_parens_many/6                                       4   0.00
ToxicParser.Grammar.Stabs.try_parse_stab_parens_many_content/9                               4   0.00
ToxicParser.Pratt.parse_unary_operand_or_standalone/4                                        8   0.00
anonymous fn/1 in ToxicParser.Grammar.Maps.finalize_map_close_items/1                       10   0.00
Toxic.NormalTokenizer.Number.tokenize_bin/3                                                 12   0.00
ToxicParser.Grammar.Containers.annotate_paren_expr_eoe/2                                    12   0.00
ToxicParser.Grammar.Stabs.parse_call_args_parens/3                                          16   0.00
ToxicParser.Grammar.Stabs.parse_call_args_parens_exprs/4                                    16   0.00
ToxicParser.Grammar.Stabs.parse_stab_parens_many/4                                          16   0.00
:unicode_util.gc_ext_pict/2                                                                 20   0.00
:unicode_util.gc_ext_pict/3                                                                 20   0.00
anonymous fn/1 in ToxicParser.Grammar.Containers.finalize_tuple_items/1                     20   0.00
Toxic.NormalTokenizer.Number.tokenize_octal/3                                               24   0.00
:erlang.big_binary_to_int/2                                                                 26   0.00
:erlang.segmentize/4                                                                        26   0.00
:erlang.combine/2                                                                           26   0.00
:erlang.get_sign/1                                                                          26   0.00
:erlang.trim_zeroes/1                                                                       26   0.00
:erlang.digits_per_small/2                                                                  26   0.00
:erlang.radix/2                                                                             26   0.00
:erlang.system_info/1                                                                       26   0.00
Toxic.NormalTokenizer.Dot.handle_call_identifier/8                                          28   0.00
ToxicParser.Grammar.Stabs.parse_paren_stab/5                                                42   0.00
ToxicParser.Grammar.Stabs.parse_stab_eoe/4                                                  42   0.00
ToxicParser.Grammar.Stabs.unwrap_single_non_stab_with_parens/3                              42   0.00
ToxicParser.Grammar.Maps.classify_pipe_rhs_for_map_update/1                                 44   0.00
:gen_server.call/3                                                                          50   0.00
:gen_server.reply/2                                                                         50   0.00
:gen_server.loop/7                                                                          50   0.00
:gen_server.decode_msg/9                                                                    50   0.00
:gen_server.try_handle_call/4                                                               50   0.00
:gen_server.handle_msg/6                                                                    50   0.00
ToxicProfiler.process_file/2                                                                50   0.00
anonymous fn/3 in ToxicProfiler.run_profile/2                                               50   0.00
:erlang.demonitor/2                                                                         50   0.00
:erlang.dt_restore_tag/1                                                                    50   0.00
:erlang.dt_spread_tag/1                                                                     50   0.00
:erlang.monitor/2                                                                           50   0.00
:erlang.whereis/1                                                                           50   0.00
ToxicParser.TokenAdapter.new/2                                                              50   0.00
ToxicParser.Grammar.parse/3                                                                 50   0.00
ToxicParser.build_result/1                                                                  50   0.00
ToxicParser.check_remaining_tokens/2                                                        50   0.00
ToxicParser.parse_string/2                                                                  50   0.00
:file_server.handle_call/3                                                                  50   0.00
:gen.call/4                                                                                 50   0.00
:gen.do_call/4                                                                              50   0.00
:gen.reply/2                                                                                50   0.00
:gen.do_for_proc/2                                                                          50   0.00
anonymous fn/4 in :gen.call/4                                                               50   0.00
:prim_file.internal_name2native/1                                                           50   0.00
:prim_file.read_file/1                                                                      50   0.00
:prim_file.read_file_nif/1                                                                  50   0.00
:prim_file.encode_path/1                                                                    50   0.00
File.read/1                                                                                 50   0.00
File.read!/1                                                                                50   0.00
ToxicParser.State.line_index/1                                                              50   0.00
ToxicParser.State.new/2                                                                     50   0.00
Toxic.Driver.new/1                                                                          50   0.00
:file.read_file/1                                                                           50   0.00
:file.file_name/1                                                                           50   0.00
:file.call/2                                                                                50   0.00
:file.check_and_call/2                                                                      50   0.00
Toxic.new/4                                                                                 50   0.00
:binary.matches/2                                                                           50   0.00
IO.chardata_to_string/1                                                                     50   0.00
:erts_internal.binary_to_integer/2                                                          52   0.00
:erlang.segmentize_1/4                                                                      52   0.00
:erlang.combine_pairs/2                                                                     52   0.00
ToxicParser.Pratt.parse_ternary_op/5                                                        72   0.00
ToxicParser.EventLog.new/0                                                                 100   0.00
:erlang.list_to_tuple/1                                                                    100   0.00
:file.check_args/1                                                                         100   0.00
anonymous fn/1 in ToxicParser.Grammar.Maps.finalize_map_close_items/1                      120   0.00
ToxicParser.Context.unmatched_expr/0                                                       130   0.00
ToxicParser.Grammar.Calls.parse_bracket_access_no_led/5                                    130   0.00
ToxicParser.Grammar.Maps.parse_assoc_expr/3                                                130   0.00
ToxicParser.Grammar.Maps.extract_assoc/1                                                   136   0.00
anonymous fn/1 in ToxicParser.Grammar.Containers.finalize_list_items/1                     144   0.00
ToxicParser.Grammar.Maps.check_embedded_map_update/1                                       146   0.00
ToxicParser.Grammar.Maps.annotate_assoc/2                                                  168   0.00
ToxicParser.Grammar.Strings.build_interpolated_parts_unescape/2                            184   0.00
ToxicParser.Grammar.Stabs.parse_remaining_stab_clauses/5                                   210   0.00
ToxicParser.Grammar.Calls.parse_bracket_access/5                                           228   0.00
ToxicParser.Pratt.build_meta_from_location/1                                               238   0.00
ToxicParser.Pratt.led_bracket/6                                                            261   0.00
ToxicParser.Pratt.parse_access_indices/4                                                   261   0.00
ToxicParser.Pratt.syntax_error_before/2                                                    304   0.00
:erlang.atom_to_binary/1                                                                   304   0.00
:erlang.atom_to_binary/2                                                                   304   0.00
String.Chars.Atom.to_string/1                                                              304   0.00
ToxicParser.Grammar.Maps.parse_map_update_rhs/4                                            304   0.00
ToxicParser.Grammar.Maps.parse_map_update_with_min_bp/2                                    304   0.00
ToxicParser.Grammar.Maps.token_meta_with_newlines/2                                        304   0.00
String.Chars.to_string/1                                                                   304   0.00
String.Chars.impl_for!/1                                                                   304   0.00
String.Chars.impl_for/1                                                                    304   0.00
ToxicParser.Grammar.Strings.count_leading_backslashes/1                                    306   0.00
ToxicParser.Grammar.Strings.escaped_by_preceding_backslash?/1                              306   0.00
Toxic.NormalTokenizer.Sigil.tokenize_upper_sigil_name/6                                    336   0.00
ToxicParser.Grammar.Maps.build_map_update_ast/4                                            348   0.00
ToxicParser.Grammar.Calls.build_access/3                                                   358   0.00
ToxicParser.Grammar.Calls.build_bracket_meta_with_newlines/3                               358   0.00
ToxicParser.Grammar.Calls.expect_token/2                                                   358   0.00
ToxicParser.Grammar.Calls.parse_bracket_arg_no_skip/3                                      358   0.00
Toxic.Driver.Contexts.find_missing_scope_terminator/1                                      389   0.00
Toxic.Driver.Contexts.pending_error/1                                                      389   0.00
:erlang.list_to_integer/2                                                                  404   0.00
:erlang.binary_to_atom/1                                                                   424   0.00
:erlang.binary_to_atom/2                                                                   424   0.00
:erlang.list_to_float/1                                                                    444   0.00
ToxicParser.Grammar.Maps.parse_map_update_candidate/3                                      450   0.00
