ToxicParser Profiler
====================
Target: parser
Profiler: eprof
Profile type: time
Matching: all functions
File limit: 20

Projects: man, bin, LICENSES, .ort, .github, lib, .git
Collected 20 files to profile

Loading code...
Running baseline measurement...

Baseline Results:
-----------------
Files processed: 20
Total AST nodes: 20850
Total bytes: 315762
Baseline time: 881.66 ms
Throughput: 23649.0 AST nodes/sec
Throughput: 349.75 KB/sec

Running profiler (eprof, time)...

Using eprof
Warmup...


Profile results of #PID<0.195.0>
#                                                                                      CALLS    %   TIME µS/CALL
Total                                                                                1104175 100. 758662    0.07
anonymous fn/1 in ToxicParser.Grammar.Containers.finalize_list_items/1                    14 0.00      0    0.00
anonymous fn/1 in ToxicParser.Grammar.Maps.finalize_map_close_items/1                      8 0.00      0    0.00
ToxicParser.Grammar.Stabs.unwrap_single_non_stab_with_parens/3                             8 0.00      0    0.00
ToxicParser.Grammar.Stabs.parse_stab_eoe/4                                                 8 0.00      0    0.00
:erlang.apply/2                                                                            1 0.00      1    1.00
:unicode_util.gc_ext_pict/3                                                               20 0.00      1    0.05
:unicode_util.gc_ext_pict/2                                                               20 0.00      1    0.05
anonymous fn/1 in ToxicParser.Grammar.Maps.finalize_map_close_items/1                     30 0.00      1    0.03
ToxicParser.Grammar.Maps.classify_pipe_rhs_for_map_update/1                                8 0.00      1    0.13
ToxicParser.Context.unmatched_expr/0                                                      38 0.00      1    0.03
:file.file_name/1                                                                         20 0.00      2    0.10
:erlang.dt_spread_tag/1                                                                   20 0.00      2    0.10
:erlang.dt_restore_tag/1                                                                  20 0.00      2    0.10
ToxicParser.Pratt.parse_access_indices/4                                                  13 0.00      2    0.15
ToxicParser.Pratt.build_meta_from_location/1                                              30 0.00      2    0.07
ToxicParser.Grammar.Maps.extract_assoc/1                                                  38 0.00      2    0.05
ToxicParser.Grammar.Stabs.parse_paren_stab/5                                               8 0.00      2    0.25
:file.check_args/1                                                                        40 0.00      3    0.08
String.Chars.impl_for/1                                                                   64 0.00      3    0.05
IO.chardata_to_string/1                                                                   20 0.00      3    0.15
anonymous fn/5 in ToxicParser.Grammar.Containers.parse_paren_content/5                    46 0.00      3    0.07
ToxicParser.Grammar.Containers.parse_expr_in_paren_with_meta/5                            46 0.00      3    0.07
ToxicParser.Grammar.Containers.build_parens_meta/2                                        46 0.00      3    0.07
anonymous fn/2 in ToxicProfiler.run_profile/2                                              1 0.00      3    3.00
ToxicParser.Grammar.Maps.check_embedded_map_update/1                                      38 0.00      3    0.08
ToxicParser.Grammar.Maps.build_map_update_ast/4                                           72 0.00      3    0.04
anonymous fn/4 in :gen.call/4                                                             20 0.00      3    0.15
ToxicParser.EventLog.new/0                                                                40 0.00      3    0.08
:erlang.binary_to_atom/1                                                                  40 0.00      4    0.10
ToxicParser.Grammar.Maps.annotate_assoc/2                                                 46 0.00      4    0.09
:gen.call/4                                                                               20 0.00      4    0.20
ToxicParser.Grammar.Calls.build_access/3                                                 116 0.00      5    0.04
ToxicParser.check_remaining_tokens/2                                                      20 0.00      5    0.25
